@RELATION TWEET 

@ATTRIBUTE fp_pronoun		NUMERIC
@ATTRIBUTE sp_pronoun		NUMERIC
@ATTRIBUTE tp_pronoun		NUMERIC
@ATTRIBUTE coordinat_conj		NUMERIC
@ATTRIBUTE past_tense_verbs		NUMERIC
@ATTRIBUTE future_tense_verbs		NUMERIC
@ATTRIBUTE commas		NUMERIC
@ATTRIBUTE colons		NUMERIC
@ATTRIBUTE dash		NUMERIC
@ATTRIBUTE parentheses		NUMERIC
@ATTRIBUTE ellipses		NUMERIC
@ATTRIBUTE common_nouns		NUMERIC
@ATTRIBUTE proper_nouns		NUMERIC
@ATTRIBUTE adverbs		NUMERIC
@ATTRIBUTE wh-words		NUMERIC
@ATTRIBUTE modern_slang		NUMERIC
@ATTRIBUTE upper_case		NUMERIC
@ATTRIBUTE avg_len_token		NUMERIC
@ATTRIBUTE avg_len_sentence		NUMERIC
@ATTRIBUTE num_sentence		NUMERIC
@ATTRIBUTE class		{cnn, CBCNews}

@DATA
0, 0, 1, 0, 0, 0, 0, 3, 3, 0, 0, 9, 2, 3, 0, 2, 0, 1, 200, 3, CBCNews
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 609, 1, CBCNews
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 1, 308, 2, CBCNews
0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 3, 0, 0, 0, 0, 0, 1, 625, 1, CBCNews
0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 1, 635, 1, CBCNews
0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 7, 3, 0, 0, 0, 1, 1, 651, 1, CBCNews
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 658, 1, CBCNews
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 0, 0, 0, 1, 667, 1, CBCNews
0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 5, 0, 1, 0, 0, 1, 1, 680, 1, CBCNews
0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 1, 0, 0, 1, 1, 691, 1, CBCNews
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 699, 1, CBCNews
0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 5, 1, 0, 0, 0, 0, 1, 708, 1, CBCNews
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 719, 1, CBCNews
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 0, 0, 0, 0, 1, 729, 1, CBCNews
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 1, 737, 1, CBCNews
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 1, 745, 1, CBCNews
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 0, 0, 0, 0, 1, 752, 1, CBCNews
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 5, 1, 0, 0, 0, 1, 384, 2, CBCNews
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 0, 0, 0, 1, 775, 1, CBCNews
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 1, 1, 781, 1, CBCNews
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 1, 787, 1, CBCNews
0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 1, 1, 795, 1, CBCNews
